YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
2007,-27.08,-41.35,-57.37,-61.00,-55.30,-52.05,-57.80,-60.70,-60.70,-50.25,-38.64,-28.20,-32.71,-57.89,-56.85,-49.86,-49.33
2008,-30.06,-41.27,-53.36,-54.15,-59.21,-61.80,-57.05,-59.81,-53.77,-51.96,-38.65,-26.80,-33.18,-55.57,-59.55,-48.13,-49.11
2009,-27.10,-42.00,-51.55,-58.63,-51.55,-54.95,-58.20,-61.30,-56.20,-50.39,-36.85,-27.10,-31.97,-53.91,-58.15,-47.81,-47.96
2010,-25.55,-37.90,-50.35,-62.30,-54.20,-60.60,-58.85,-58.00,-61.40,-49.72,-38.15,-26.57,-30.18,-55.62,-59.15,-49.76,-48.68
2011,-25.62,-37.10,-56.20,-60.00,-62.55,-61.60,-58.15,-56.33,-59.50,-48.90,-35.00,-27.32,-29.76,-59.58,-58.69,-47.80,-48.96
2012,-28.60,-40.14,-51.15,-59.65,-58.75,-58.05,-60.70,-62.62,-60.60,-51.51,-36.19,-25.15,-32.02,-56.52,-60.46,-49.43,-49.61
2013,-26.65,-43.75,-50.20,-57.20,-62.35,-52.65,-58.70,-53.25,-51.20,-51.20,-35.20,-26.10,-31.85,-56.58,-54.87,-45.87,-47.29
2014,-27.40,-43.65,-56.65,-54.25,-54.85,-54.75,-61.20,-59.30,-58.05,-51.15,-37.85,-26.90,-32.38,-55.25,-58.42,-49.02,-48.77
2015,-28.30,-41.09,-53.15,-55.85,-58.95,-59.50,-61.85,-61.00,-60.35,-47.55,-35.20,-27.15,-32.10,-55.98,-60.78,-47.70,-49.14
2016,-29.00,-41.20,-54.80,-55.40,-56.75,-57.50,-63.80,-55.75,-60.45,-51.00,-34.20,-25.15,-32.45,-55.65,-59.02,-48.55,-48.92
2017,-27.00,-38.85,-51.65,-58.75,-57.25,-58.95,-59.05,-60.70,-58.05,-46.80,-36.10,-27.75,-30.33,-55.88,-59.57,-46.98,-48.19
2018,-26.70,-40.35,-51.30,-58.70,-51.85,-51.75,-58.95,-55.85,-62.40,-46.70,-37.90,-23.15,-31.60,-53.95,-55.52,-49.00,-47.52
2019,-27.25,-35.85,-51.15,-56.70,-56.40,-61.90,-58.45,-61.75,-59.80,-51.05,-35.00,-25.60,-28.75,-54.75,-60.70,-48.62,-48.20
2020,-27.55,-39.95,-53.05,-53.15,-56.50,-54.75,-60.30,-62.80,-59.55,-52.90,-32.95,-25.20,-31.03,-54.23,-59.28,-48.47,-48.25
2021,-27.65,-42.10,-51.05,-58.70,-58.00,-63.90,-60.80,-63.85,-61.10,-54.30,-38.15,-25.95,-31.65,-55.92,-62.85,-51.18,-50.40
2022,-27.90,-40.45,-55.50,-59.10,-58.40,-54.60,-61.90,-55.10,-59.50,-52.15,-40.50,-29.00,-31.43,-57.67,-57.20,-50.72,-49.25
2023,-31.53,-41.50,-51.35,-54.20,-57.90,-57.35,-58.45,-56.65,-56.25,-52.70,-38.44,-28.65,-34.01,-54.48,-57.48,-49.13,-48.78
2024,-31.20,-42.15,-54.75,-59.75,-56.45,-56.35,-54.45,-54.35,-59.25,-50.30,-38.80,-29.55,-34.00,-56.98,-55.05,-49.45,-48.87
2025,-26.70,-39.20,-53.65,-56.55,-58.20,-56.50,-58.55,-53.80,999.90,999.90,999.90,999.90,-31.82,-56.13,-56.28,999.90,-48.13
